stfips,year,nfd,post,asmrs,pcinc,cases,copop,posttrend,pretrend
1,1993,1971,1,43.12397,28268.879,.02352316,2190193,23,0
1,1994,1971,1,46.0425,28996.312,.02240343,2212954,24,0
1,1995,1971,1,33.59852,29685.675,.0201278,2230497,25,0
1,1996,1971,1,40.41017,29922.273,.01837939,2247223,26,0
4,1964,1973,0,73.52872,15551.316,.01288265,744813,0,9
4,1965,1973,0,82.4312,15962.689,.01222511,769209.3,0,8
4,1966,1973,0,59.25536,16581.27,.01218049,793605,0,7
4,1967,1973,0,81.49342,17214.603,.0123268,818000.7,0,6
4,1968,1973,0,72.93674,18610.393,.01217757,842395.7,0,5
4,1969,1973,0,81.31187,20097.643,.01270004,866795,0,4
4,1970,1973,0,61.68011,21109.887,.01534212,914150,0,3
4,1971,1973,0,103.9061,21886.983,.01792892,961505,0,2
4,1972,1973,0,101.9225,22979.025,.01842799,1017302,0,1
4,1973,1973,1,72.25343,23596.892,.01854194,1075584,1,0
4,1974,1973,1,87.00237,23114.632,.01814803,1125678,2,0
4,1975,1973,1,80.89824,22327.281,.01783496,1157502,3,0
4,1976,1973,1,100.6557,22907.772,.01612179,1189441,4,0
4,1977,1973,1,102.808,23409.962,.01510826,1230624,5,0
4,1978,1973,1,87.90334,24924.888,.01357014,1277136,6,0
4,1979,1973,1,80.58761,25564.116,.01287999,1339131,7,0
4,1980,1973,1,70.88127,25534.172,.01383289,1388978,8,0
4,1981,1973,1,71.15961,25957.762,.01599015,1426446,9,0
4,1982,1973,1,81.30744,25202.945,.01511552,1466644,10,0
4,1983,1973,1,74.31818,25846.284,.01648837,1505470,11,0
4,1984,1973,1,59.356,27230.122,.0167665,1554986,12,0
4,1985,1973,1,68.18728,28145.965,.01572871,1613848,13,0
4,1986,1973,1,81.54845,29174.694,.01605734,1675874,14,0
4,1987,1973,1,79.78552,29366.235,.01710736,1740411,15,0
4,1988,1973,1,64.34055,29673.941,.01850533,1789543,16,0
4,1989,1973,1,60.6802,29836.904,.02037409,1832585,17,0
4,1990,1973,1,56.36128,29284.205,.0244409,1863454,18,0
4,1991,1973,1,55.50723,28869.36,.02900239,1915555,19,0
4,1992,1973,1,53.64199,29052.345,.03308394,1978503,20,0
4,1993,1973,1,59.45742,29398.383,.03460537,2052350,21,0
4,1994,1973,1,57.4583,30254.223,.03358971,2140400,22,0
4,1995,1973,1,67.1983,30785.255,.0304529,2231840,23,0
4,1996,1973,1,50.80847,31404.035,.02680834,2306882,24,0
5,1964,,0,50.6405,11637.654,.00747722,937959.7,0,0
5,1965,,0,52.20787,12103.927,.00778666,945655.3,0,0
5,1966,,0,38.31504,13020.648,.00802966,953341,0,0
5,1967,,0,37.81254,13419.825,.00917426,961022.2,0,0
5,1968,,0,33.50609,13967.913,.00980687,968708.7,0,0
5,1969,,0,35.09294,14831.209,.01051411,976466,0,0
5,1970,,0,46.17476,15410.218,.01364924,995782,0,0
5,1971,,0,48.64352,16086.528,.01839742,1015138,0,0
5,1972,,0,56.25036,17225.678,.02091302,1038165,0,0
5,1973,,0,46.95891,18803.629,.02334036,1059138,0,0
5,1974,,0,48.40681,18717.645,.0260698,1080970,0,0
5,1975,,0,34.73759,18538.198,.03012936,1111145,0,0
5,1976,,0,54.56055,19256.765,.03004889,1117490,0,0
5,1977,,0,43.74012,19781.9,.02695811,1138192,0,0
5,1978,,0,41.51071,21150.151,.02567436,1156582,0,0
5,1979,,0,42.917,20897.603,.0251676,1171950,0,0
5,1980,,0,50.51703,20118.074,.02497898,1183008,0,0
5,1981,,0,34.02664,20756.519,.0243578,1185948,0,0
5,1982,,0,25.05139,20580.92,.01899222,1187131,0,0
5,1983,,0,36.12226,20885.621,.01886333,1193325,0,0
5,1984,,0,42.4336,22192.728,.01861117,1200726,0,0
5,1985,,0,48.35736,22793.838,.01818092,1204624,0,0
5,1986,,0,47.84881,23478.073,.01884749,1207650,0,0
5,1987,,0,41.24729,23490.282,.01881647,1213042,0,0
5,1988,,0,45.51768,24299.363,.01951236,1213641,0,0
5,1989,,0,33.31609,24948.099,.01973749,1215466,0,0
5,1990,,0,38.88421,24900.515,.02050969,1220423,0,0
5,1991,,0,34.79341,25107.007,.02135203,1232775,0,0
5,1992,,0,38.68991,26354.089,.02142856,1248781,0,0
5,1993,,0,39.49163,26552.722,.02087241,1268800,0,0
5,1994,,0,53.22697,27191.416,.01999429,1287005,0,0
5,1995,,0,45.80822,27758.791,.01821006,1306773,0,0
5,1996,,0,40.57498,28287.526,.01693293,1323703,0,0
6,1964,1970,0,112.8131,21809.3,.01323051,8837580,0,6
6,1965,1970,0,123.487,22383.365,.01529115,9076856,0,5
6,1966,1970,0,127.0544,23276.722,.01718283,9316132,0,4
6,1967,1970,0,131.781,23945.531,.01970962,9555402,0,3
6,1968,1970,0,115.1233,24975.738,.02179755,9794680,0,2
6,1969,1970,0,128.1438,25867.487,.02712452,1.00e+07,0,1
6,1970,1970,1,134.4435,26207.925,.03636492,1.02e+07,1,0
6,1971,1970,1,137.556,26347.315,.04365672,1.03e+07,2,0
6,1972,1970,1,135.6638,27750.573,.04270807,1.04e+07,3,0
6,1973,1970,1,112.5318,28242.385,.04000577,1.06e+07,4,0
6,1974,1970,1,114.6966,28229.753,.03872417,1.07e+07,5,0
6,1975,1970,1,111.0879,28334.743,.04127101,1.09e+07,6,0
6,1976,1970,1,104.6317,29186.035,.04207136,1.11e+07,7,0
6,1977,1970,1,100.7278,29865.979,.04205635,1.13e+07,8,0
6,1978,1970,1,84.40091,31176.291,.04112267,1.16e+07,9,0
6,1979,1970,1,80.79575,31692.782,.03923373,1.18e+07,10,0
6,1980,1970,1,69.64105,31626.62,.04036027,1.21e+07,11,0
6,1981,1970,1,73.34216,31798.561,.0426159,1.23e+07,12,0
6,1982,1970,1,74.43253,31369.453,.04107808,1.25e+07,13,0
6,1983,1970,1,62.96433,31849.914,.04255913,1.28e+07,14,0
6,1984,1970,1,66.58502,33376.416,.04200563,1.30e+07,15,0
6,1985,1970,1,61.40804,34106.335,.0418312,1.33e+07,16,0
6,1986,1970,1,60.34995,35121.167,.0419284,1.36e+07,17,0
6,1987,1970,1,58.9715,35737.005,.04208341,1.39e+07,18,0
6,1988,1970,1,53.86119,36557.207,.04144232,1.42e+07,19,0
6,1989,1970,1,51.72964,36767.031,.04191981,1.46e+07,20,0
6,1990,1970,1,50.86367,36588.651,.04469491,1.50e+07,21,0
6,1991,1970,1,48.65615,35858.23,.0494219,1.52e+07,22,0
6,1992,1970,1,52.30226,36292.586,.05293617,1.55e+07,23,0
6,1993,1970,1,48.01072,35914.148,.05584714,1.56e+07,24,0
6,1994,1970,1,46.33899,36047.357,.05814481,1.58e+07,25,0
6,1995,1970,1,42.6997,36769.365,.05769454,1.59e+07,26,0
6,1996,1970,1,42.37778,37698.246,.05511384,1.60e+07,27,0
8,1964,1971,0,111.4278,17747.1,.01061104,976404.2,0,7
8,1965,1971,0,107.1067,18511.888,.01128387,999679.6,0,6
8,1966,1971,0,91.91471,19123.69,.01221962,1022939,0,5
8,1967,1971,0,101.6661,19616.362,.01326242,1046189,0,4
8,1968,1971,0,103.6252,20315.912,.01360513,1069450,0,3
8,1969,1971,0,90.4826,21358.932,.01475501,1092849,0,2
8,1970,1971,0,97.62772,22418.7,.01944997,1128108,0,1
8,1971,1971,1,106.9322,23388.931,.02430647,1163401,1,0
8,1972,1971,1,101.0024,24613.722,.0253089,1211853,2,0
8,1973,1971,1,101.0372,25485.567,.0242521,1256266,3,0
8,1974,1971,1,101.9136,25500.009,.02333476,1278886,4,0
8,1975,1971,1,95.98931,25503.596,.02417744,1301299,5,0
8,1976,1971,1,97.03187,26078.093,.02431544,1323449,6,0
8,1977,1971,1,96.30354,26696.599,.02333443,1356122,7,0
8,1978,1971,1,86.32636,28099.025,.02093221,1391846,8,0
8,1979,1971,1,73.93958,28594.548,.01894088,1434239,9,0
8,1980,1971,1,71.04447,28870.828,.0193502,1465097,10,0
8,1981,1971,1,86.41331,29654.593,.01939822,1498475,11,0
8,1982,1971,1,61.91204,29834.109,.01714773,1542211,12,0
8,1983,1971,1,74.23777,30042.252,.01884585,1579556,13,0
8,1984,1971,1,65.97231,31127.053,.01849598,1598780,14,0
8,1985,1971,1,76.05564,31417.048,.01715542,1616904,15,0
8,1986,1971,1,73.90118,31801.136,.01814176,1631241,16,0
8,1987,1971,1,61.43783,31689.556,.01936218,1642876,17,0
8,1988,1971,1,74.62379,32331.393,.02022058,1644265,18,0
8,1989,1971,1,51.64869,33388.661,.02065753,1652194,19,0
8,1990,1971,1,57.92793,33386.888,.02154052,1668681,20,0
8,1991,1971,1,60.69965,33330.271,.02347442,1705914,21,0
8,1992,1971,1,70.49518,34259.675,.02400698,1756878,22,0
8,1993,1971,1,64.72041,35033.385,.02346258,1813480,23,0
8,1994,1971,1,62.83584,35869.626,.0219566,1866595,24,0
8,1995,1971,1,59.39911,37046.13,.01967911,1914916,25,0
8,1996,1971,1,53.0667,37986.731,.01763085,1959472,26,0
9,1964,1973,0,52.5151,21505.765,.01022719,1407318,0,9
9,1965,1973,0,61.89867,22294.365,.01010567,1436397,0,8
9,1966,1973,0,51.48725,23400.14,.0091165,1465475,0,7
9,1967,1973,0,55.0661,24678.067,.00953462,1494553,0,6
9,1968,1973,0,55.25052,24998.863,.01142008,1523632,0,5
9,1969,1973,0,63.96929,27095.584,.01319736,1552710,0,4
9,1970,1973,0,47.78807,27231.755,.01536688,1564512,0,3
9,1971,1973,0,53.13208,27272.758,.01868996,1576314,0,2
9,1972,1973,0,47.55939,28467.286,.0203164,1580484,0,1
9,1973,1973,1,54.08969,29138.236,.02182771,1581522,1,0
9,1974,1973,1,38.02047,28855.494,.02315028,1586262,2,0
9,1975,1973,1,53.04802,28548.049,.02535143,1592543,3,0
9,1976,1973,1,44.13305,29127.325,.02669334,1593375,4,0
9,1977,1973,1,35.19816,30141.877,.02762601,1596228,5,0
9,1978,1973,1,54.12855,31363.575,.02827954,1600518,6,0
9,1979,1973,1,37.26402,32134.966,.02878255,1604395,7,0
9,1980,1973,1,33.97457,32759.173,.03011414,1612742,8,0
9,1981,1973,1,39.10888,33424.101,.03030303,1620072,9,0
9,1982,1973,1,32.44894,33926.075,.02682896,1625175,10,0
9,1983,1973,1,26.60979,34542.784,.02689134,1636707,11,0
9,1984,1973,1,32.18901,36957.721,.02632223,1645203,12,0
9,1985,1973,1,24.26717,38095.511,.02493959,1655634,13,0
9,1986,1973,1,29.37353,40026.257,.02396001,1665348,14,0
9,1987,1973,1,30.06876,42018.863,.02281559,1676796,15,0
9,1988,1973,1,27.91585,44371.046,.02222763,1688158,16,0
9,1989,1973,1,31.19854,46010.179,.02321047,1693291,17,0
9,1990,1973,1,30.569,44986.465,.02658117,1696837,18,0
9,1991,1973,1,27.5354,43585.107,.03109289,1702975,19,0
9,1992,1973,1,26.25403,45777.364,.03282618,1702805,20,0
9,1993,1973,1,33.37108,46092.196,.03381026,1707354,21,0
9,1994,1973,1,35.65055,46225.561,.03498395,1711125,22,0
9,1995,1973,1,30.8077,47442.026,.03533602,1715233,23,0
9,1996,1973,1,30.56573,48270.19,.03337278,1721785,24,0
10,1964,,0,56.48964,21479.932,.01026725,247502.2,0,0
10,1965,,0,61.09297,22764.791,.01066655,253088.8,0,0
10,1966,,0,107.9681,22850.928,.01122353,258675.3,0,0
10,1967,,0,61.77805,23285.048,.01324444,264261.9,0,0
10,1968,,0,82.9295,24039.147,.01587311,269848.4,0,0
10,1969,,0,65.41486,25054.287,.0172757,275435,0,0
10,1970,,0,43.78168,24994.107,.02117454,282572,0,0
10,1971,,0,55.98576,25523.013,.0266946,289709,0,0
10,1972,,0,47.52161,26803.136,.03077669,294246,0,0
10,1973,,0,69.34623,27651.309,.03019177,297272,0,0
10,1974,,0,56.70048,27049.663,.03042942,299688,0,0
10,1975,,0,81.03278,26674.837,.0336751,302939,0,0
10,1976,,0,56.36883,27310.995,.03344112,305243,0,0
10,1977,,0,44.25637,27531.191,.03483409,307089,0,0
10,1978,,0,72.63562,28131.315,.0353055,309017,0,0
10,1979,,0,33.09782,28164.156,.03653947,309745,0,0
10,1980,,0,65.18266,28655.988,.03828517,308024,0,0
10,1981,,0,40.57049,28758.245,.03735107,308561,0,0
10,1982,,0,82.20773,29073.291,.03209073,310074,0,0
10,1983,,0,34.92534,29538.298,.02981204,313176,0,0
10,1984,,0,49.17434,30946.094,.0299899,316162,0,0
10,1985,,0,20.72822,32259.23,.0274205,319393,0,0
10,1986,,0,43.3727,33218.296,.02509819,324024,0,0
10,1987,,0,69.49769,34194.568,.02358043,328574,0,0
10,1988,,0,59.85845,35475.577,.02245461,333996,0,0
10,1989,,0,36.40713,37244.293,.02238891,339223,0,0
10,1990,,0,44.69872,36631.227,.02451292,344859,0,0
10,1991,,0,56.24046,36653.765,.0277773,351600,0,0
10,1992,,0,63.78722,36733.477,.03051506,357441,0,0
10,1993,,0,47.36092,36635.341,.03155551,363357,0,0
10,1994,,0,32.91761,36718.448,.03088103,368843,0,0
10,1995,,0,39.74619,37336.36,.02807848,375145,0,0
10,1996,,0,35.16965,38305.813,.02720364,381153,0,0
11,1964,1977,0,45.42294,24560.488,.0099302,406369.9,0,13
11,1965,1977,0,34.12579,26076.842,.0110217,406516.1,0,12
11,1966,1977,0,33.76423,26596.678,.01169767,406662.3,0,11
11,1967,1977,0,44.12886,27692.274,.01274146,406808.6,0,10
11,1968,1977,0,41.93971,28456.153,.01466174,406954.8,0,9
11,1969,1977,0,36.69406,27040.264,.01971255,407101,0,8
11,1970,1977,0,49.98028,28862.493,.0313855,404380,0,7
11,1971,1977,0,80.46631,30969.473,.05145824,401659,0,6
11,1972,1977,0,77.85341,32939.385,.06715033,397696,0,5
11,1973,1977,0,65.60199,33054.12,.07581788,392458,0,4
11,1974,1977,0,46.97191,33193.687,.07828323,385949,0,3
11,1975,1977,0,51.51691,33779.854,.08427112,380684,0,2
11,1976,1977,0,82.02641,34506.597,.08353297,373178,0,1
11,1977,1977,1,52.61217,35559.828,.08651703,365875,1,0
11,1978,1977,1,39.17342,36090.876,.08830857,359832,2,0
11,1979,1977,1,29.74757,35536.833,.08830821,352320,3,0
11,1980,1977,1,38.04896,34698.041,.08896576,342289,4,0
11,1981,1977,1,33.11794,34104.841,.08256643,341853,5,0
11,1982,1977,1,40.16376,34453.849,.07447007,340328,6,0
11,1983,1977,1,33.87801,34558.121,.06799526,339846,7,0
11,1984,1977,1,39.38111,36200.218,.06802296,340020,8,0
11,1985,1977,1,22.40372,37015.321,.06520955,340239,9,0
11,1986,1977,1,46.31595,37989.465,.06115697,341531,10,0
11,1987,1977,1,11.3281,38781.29,.05737839,340404,11,0
11,1988,1977,1,19.08296,41527.107,.05451052,336724,12,0
11,1989,1977,1,18.34295,42848.097,.05393574,333199,13,0
11,1990,1977,1,13.21851,43796.022,.05914979,323226,14,0
11,1991,1977,1,17.71715,44490.767,.06777911,320090,15,0
11,1992,1977,1,10.99703,46096.409,.07168006,317629,16,0
11,1993,1977,1,16.68589,47049.614,.08099397,316682,17,0
11,1994,1977,1,7.477235,47616.771,.08694879,313077,18,0
11,1995,1977,1,13.03544,47476.435,.0858763,307908,19,0
11,1996,1977,1,23.57218,48822.391,.0838462,304009,20,0
12,1964,1971,0,74.29163,15764.436,.0094492,2907919,0,7
12,1965,1971,0,80.65296,16496.686,.00932277,3006206,0,6
12,1966,1971,0,80.02652,17161.337,.01027213,3104492,0,5
12,1967,1971,0,78.26814,18073.232,.01133391,3202777,0,4
12,1968,1971,0,82.29701,19425.574,.0120239,3301064,0,3
12,1969,1971,0,89.03296,20960.63,.01386784,3399352,0,2
12,1970,1971,0,95.34966,21954.283,.01696625,3552150,0,1
12,1971,1971,1,76.85011,22574.744,.02143581,3704949,1,0
12,1972,1971,1,81.55613,24009.915,.0230605,3889107,2,0
12,1973,1971,1,86.80734,24926.814,.02194013,4101593,3,0
12,1974,1971,1,92.60527,24315.72,.01897953,4305327,4,0
12,1975,1971,1,91.77881,23890.23,.01816293,4424355,5,0
12,1976,1971,1,86.437,24188.376,.01785698,4508172,6,0
12,1977,1971,1,89.12433,24896.363,.01794557,4611713,7,0
12,1978,1971,1,84.84508,26222.958,.01729782,4741686,8,0
12,1979,1971,1,79.32959,26507.441,.0171556,4920143,9,0
12,1980,1971,1,73.80811,26992.965,.01891944,5118558,10,0
12,1981,1971,1,60.67635,27522.738,.01925362,5297979,11,0
12,1982,1971,1,81.94379,27325.467,.01774412,5442337,12,0
12,1983,1971,1,68.95493,28374.821,.0187114,5580832,13,0
12,1984,1971,1,64.03265,29527.881,.01769878,5729518,14,0
12,1985,1971,1,54.0629,30521.976,.01640532,5885281,15,0
12,1986,1971,1,63.11923,31555.282,.01625926,6041009,16,0
12,1987,1971,1,60.54732,32120.588,.01705939,6206270,17,0
12,1988,1971,1,58.64779,33135.155,.01757515,6362829,18,0
12,1989,1971,1,57.79905,34516.572,.0186807,6525517,19,0
12,1990,1971,1,51.97242,33967.634,.02092187,6720984,20,0
12,1991,1971,1,53.24898,33213.571,.02580476,6889557,21,0
12,1992,1971,1,52.02975,33629.601,.03363053,7025305,22,0
12,1993,1971,1,57.44404,34162.009,.03532892,7166538,23,0
12,1994,1971,1,46.62315,34463.094,.03322771,7323769,24,0
12,1995,1971,1,47.72909,35404.988,.03000936,7472498,25,0
12,1996,1971,1,47.24295,35901.774,.02660513,7625697,26,0
13,1964,1973,0,47.76581,13923.853,.00759866,2150929,0,9
13,1965,1973,0,47.43012,14869.267,.0085015,2184370,0,8
13,1966,1973,0,59.52446,15748.195,.00951237,2217806,0,7
13,1967,1973,0,49.79271,16536.106,.0108533,2251236,0,6
13,1968,1973,0,57.85325,17286.448,.01325499,2284674,0,5
13,1969,1973,0,52.97851,18166.986,.01894486,2318131,0,4
13,1970,1973,0,60.33442,18645.308,.02653277,2370967,0,3
13,1971,1973,0,47.63147,19292.708,.03435944,2423817,0,2
13,1972,1973,0,67.37711,20588.343,.03874592,2476205,0,1
13,1973,1973,1,69.87316,21431.15,.04067412,2530987,1,0
13,1974,1973,1,64.98689,21006.43,.04176608,2576772,2,0
13,1975,1973,1,80.54225,20702.28,.04350991,2610972,3,0
13,1976,1973,1,59.31693,21462.047,.03558835,2643126,4,0
13,1977,1973,1,69.06436,21933.906,.03163923,2689038,5,0
13,1978,1973,1,61.46148,22977.782,.02913581,2729359,6,0
13,1979,1973,1,58.93541,23023.033,.02872715,2784761,7,0
13,1980,1973,1,53.15435,22677.591,.03052286,2833677,8,0
13,1981,1973,1,58.08383,23087.025,.03122436,2877924,9,0
13,1982,1973,1,53.2079,23242.64,.02967716,2918173,10,0
13,1983,1973,1,45.6426,24128.458,.03020318,2957197,11,0
13,1984,1973,1,42.47089,25771.929,.02939755,3011251,12,0
13,1985,1973,1,45.83645,26738.26,.02728333,3075837,13,0
13,1986,1973,1,45.54837,28093.336,.02706448,3136522,14,0
13,1987,1973,1,52.3509,28653.003,.02690652,3200377,15,0
13,1988,1973,1,47.79859,29617.995,.02742109,3253275,16,0
13,1989,1973,1,48.48965,30146.141,.02858407,3300606,17,0
13,1990,1973,1,45.83693,30198.75,.03125392,3350484,18,0
13,1991,1973,1,39.89526,29903.226,.03629378,3420483,19,0
13,1992,1973,1,34.89971,30864.009,.03946736,3500785,20,0
13,1993,1973,1,34.20679,31249.079,.03954674,3581130,21,0
13,1994,1973,1,35.70956,32158.71,.03849322,3669122,22,0
13,1995,1973,1,36.07077,33084.649,.03670131,3752639,23,0
13,1996,1973,1,33.48253,34006.225,.03284535,3837141,24,0
16,1964,1971,0,47.86918,14802.166,.00754199,337985.6,0,7
16,1965,1971,0,49.69687,16483.972,.00762501,340316.6,0,6
16,1966,1971,0,48.94074,16149.305,.00759007,342640.7,0,5
16,1967,1971,0,62.24003,16728.247,.00857604,344953.2,0,4
16,1968,1971,0,54.8566,17026.284,.00926244,347280.7,0,3
16,1969,1971,0,63.97881,18543.16,.0104144,349676,0,2
16,1970,1971,0,85.37611,19257.495,.01371899,359599,0,1
16,1971,1971,1,57.19467,19580.96,.01483938,369546,1,0
16,1972,1971,1,45.29072,21010.517,.01745319,381339,2,0
16,1973,1971,1,38.56409,22313.147,.01533634,390657,3,0
16,1974,1971,1,79.0276,23093.634,.01493645,403677,4,0
16,1975,1971,1,81.35541,22272.985,.01546054,415822,5,0
16,1976,1971,1,59.83331,22918.78,.01566043,428495,6,0
16,1977,1971,1,67.82691,22834.024,.01552939,441904,7,0
16,1978,1971,1,44.13983,23878.682,.01516214,455768,8,0
16,1979,1971,1,59.06243,23356.145,.01579295,466817,9,0
16,1980,1971,1,49.59577,23261.108,.01640287,475059,10,0
16,1981,1971,1,44.11198,23084.602,.01470184,481952,11,0
16,1982,1971,1,61.93652,22433.843,.01341091,488141,12,0
16,1983,1971,1,51.91308,23118.358,.01418735,491882,13,0
16,1984,1971,1,64.48029,23530.983,.01317124,496530,14,0
16,1985,1971,1,42.1122,23804.863,.01252983,498364,15,0
16,1986,1971,1,57.43476,24019.752,.01279053,496383,16,0
16,1987,1971,1,55.42164,24505.044,.01323544,493983,17,0
16,1988,1971,1,51.75335,25582.399,.01285347,494821,18,0
16,1989,1971,1,61.04859,26808.884,.01232527,499448,19,0
16,1990,1971,1,62.32271,27165.592,.01233534,508485,20,0
16,1991,1971,1,51.49749,26793.409,.01326891,522870,21,0
16,1992,1971,1,37.35571,27926.87,.01388711,537351,22,0
16,1993,1971,1,45.27489,28889.949,.01466621,555364,23,0
16,1994,1971,1,67.17177,29310.407,.01528054,573420,24,0
16,1995,1971,1,55.11381,29904.095,.01555074,589184,25,0
16,1996,1971,1,45.61909,30315.661,.01453686,601947,26,0
17,1964,1984,0,46.12389,20330.375,.01035903,5379057,0,20
17,1965,1984,0,52.57697,21474.299,.01019277,5441813,0,19
17,1966,1984,0,49.94909,22301.716,.0096627,5504553,0,18
17,1967,1984,0,50.44091,22840.722,.00996298,5567279,0,17
17,1968,1984,0,46.91704,23461.005,.0116385,5630022,0,16
17,1969,1984,0,50.61295,24340.663,.01372757,5692924,0,15
17,1970,1984,0,54.90055,24498.024,.01727621,5729458,0,14
17,1971,1984,0,50.38992,25022.364,.02596795,5766051,0,13
17,1972,1984,0,51.71696,26228.783,.03198672,5790255,0,12
17,1973,1984,0,46.80654,27489.686,.0353965,5793411,0,11
17,1974,1984,0,39.10416,27310.039,.03570614,5802950,0,10
17,1975,1984,0,42.01683,27466.007,.03892534,5823071,0,9
17,1976,1984,0,45.74953,28066.882,.03919667,5850469,0,8
17,1977,1984,0,48.61582,28883.092,.03849677,5874465,0,7
17,1978,1984,0,46.20281,29774.892,.03679135,5891917,0,6
17,1979,1984,0,40.18455,29847.402,.03578655,5886918,0,5
17,1980,1984,0,35.47856,29051.188,.03680809,5892751,0,4
17,1981,1984,0,40.2153,29378.421,.03949649,5896226,0,3
17,1982,1984,0,42.73213,29372.592,.03875853,5887048,0,2
17,1983,1984,0,41.96664,29433.125,.04073192,5880133,0,1
17,1984,1984,1,45.14484,31116.532,.04139752,5878935,1,0
17,1985,1984,1,43.86464,31685.57,.0408219,5870407,2,0
17,1986,1984,1,40.90976,32792.548,.04124293,5862197,3,0
17,1987,1984,1,39.0928,33537.389,.03967432,5863051,4,0
17,1988,1984,1,40.34988,34865.762,.0369335,5860494,5,0
17,1989,1984,1,35.3981,35521.145,.03498054,5868262,6,0
17,1990,1984,1,36.35233,35788.21,.0358911,5889317,7,0
17,1991,1984,1,37.80315,34934.489,.03787694,5944631,8,0
17,1992,1984,1,35.70102,36529.865,.03799282,6004102,9,0
17,1993,1984,1,34.41288,36519.574,.03852666,6060809,10,0
17,1994,1984,1,29.09114,37349.701,.03951078,6108175,11,0
17,1995,1984,1,30.16006,38403.027,.03782601,6151104,12,0
17,1996,1984,1,31.36318,39472.864,.03554025,6193639,13,0
18,1964,1973,0,56.01205,17075.448,.00477983,2490114,0,9
18,1965,1973,0,44.45177,18327.532,.00471754,2521777,0,8
18,1966,1973,0,44.31583,18907.708,.00454066,2553409,0,7
18,1967,1973,0,56.45153,19063.957,.00456153,2585024,0,6
18,1968,1973,0,55.85336,19766.678,.00491721,2616662,0,5
18,1969,1973,0,60.03574,20650.84,.00568572,2648450,0,4
18,1970,1973,0,56.92192,20239.104,.00875156,2669048,0,3
18,1971,1973,0,59.54527,20905.912,.01398623,2689687,0,2
18,1972,1973,0,56.96869,22011.952,.01742225,2711777,0,1
18,1973,1973,1,57.8054,23606.127,.01817376,2729169,1,0
18,1974,1973,1,51.89548,22875.255,.0186388,2741821,2,0
18,1975,1973,1,43.6529,22796.553,.0197391,2744958,3,0
18,1976,1973,1,50.98793,23869.142,.02101716,2756680,4,0
18,1977,1973,1,60.47037,24682.542,.01958546,2775592,5,0
18,1978,1973,1,51.74628,25596.526,.01845989,2798563,6,0
18,1979,1973,1,43.27386,25620.126,.01821217,2814816,7,0
18,1980,1973,1,35.51527,24714.596,.0201227,2825623,8,0
18,1981,1973,1,35.46904,24804.622,.02106021,2820453,9,0
18,1982,1973,1,49.43342,24252.494,.01946136,2815267,10,0
18,1983,1973,1,46.40185,24459.314,.02042558,2806987,11,0
18,1984,1973,1,44.58831,26045.472,.0205057,2811605,12,0
18,1985,1973,1,40.80004,26573.485,.02022835,2812632,13,0
18,1986,1973,1,35.7316,27561.651,.01956034,2810180,14,0
18,1987,1973,1,43.38036,28198.776,.01871357,2820534,15,0
18,1988,1973,1,34.82177,29006.315,.01863826,2830053,16,0
18,1989,1973,1,43.1386,30122.904,.01813045,2846023,17,0
18,1990,1973,1,41.86875,30105.082,.01928732,2862792,18,0
18,1991,1973,1,38.19651,29579.424,.02200342,2890350,19,0
18,1992,1973,1,34.12434,30947.377,.02401532,2916968,20,0
